outer_fold,feature_index,feature,document_frequency,treated_count,control_count,raw_moment,standard_error,z_score,tail_score,source_sign_agreement,subsample_sign_agreement,subsample_top_pool_frequency,tail_sign_agreement,eligible,ranking_score,rank
1,13268,global health 40,60,26,34,-8.108196094417924e-05,2.7186653192297926e-05,-2.982417893466565,-0.26573384,1.0,1.0,0.6333333333333333,1.0,True,2.16225297276326,110
1,26990,t2-weighted,438,222,216,8.164921613282394e-05,2.7471144297307967e-05,2.972181109354995,0.2816049,1.0,1.0,0.6333333333333333,1.0,True,2.154831304282371,111
1,21136,oncology dr.,41,24,17,0.00012408353739717847,4.046829445160153e-05,3.0661914241426076,0.30914947,1.0,1.0,0.6,1.0,True,2.146333996899825,112
1,23759,q6 h prn,164,76,88,0.0001174999795713007,3.6969843909101025e-05,3.17826550364134,0.31430882,1.0,1.0,0.5666666666666667,1.0,True,2.1453292149579046,113
1,25295,seizure,43,23,20,0.00022301790796422114,7.291349741362967e-05,3.05866425113401,0.35498536,1.0,1.0,0.6,1.0,True,2.1410649757938067,114
1,1176,- ttf-1 positive,86,45,41,-7.765516975914572e-05,2.6319254437603887e-05,-2.950507961509546,-0.29327843,1.0,1.0,0.6333333333333333,1.0,True,2.139118272094421,115
1,886,- palliative care,142,71,71,9.692322386504448e-05,3.400546760745542e-05,2.8502247045647113,0.34497884,1.0,1.0,0.6666666666666666,1.0,True,2.1376685284235335,116
1,19525,no extra-axial,270,153,117,8.915263754890287e-05,2.9333465829411823e-05,3.0392807337315078,0.22904243,1.0,1.0,0.6,1.0,True,2.1274965136120554,117
1,13511,he underwent,160,75,85,-0.00013671574178495674,4.498536699254085e-05,-3.0391158486630987,-0.36431786,1.0,1.0,0.6,1.0,True,2.127381094064169,118
1,29600,with brain metastases,67,33,34,0.00011323347322450883,3.726995357112571e-05,3.0381973245127574,0.29860064,1.0,1.0,0.6,1.0,True,2.12673812715893,119
1,26317,status 2 -,161,64,97,0.0001231243328978943,4.19978364897936e-05,2.931682752939338,0.3501016,1.0,1.0,0.6333333333333333,1.0,True,2.1254699958810197,120
1,6849,back to,59,30,29,-7.412760541947676e-05,2.5419196580542424e-05,-2.9162056788301114,-0.24250545,1.0,1.0,0.6333333333333333,1.0,True,2.1142491171518305,121
