topic_index,variable,variable_role,association_kind,association,association_strength,topic_rank
35,true_egfr_mutation_status,effect_modifier,categorical_eta,0.03759326076823373,0.03759326076823373,55
51,true_egfr_mutation_status,effect_modifier,categorical_eta,0.03750184075849651,0.03750184075849651,19
36,true_egfr_mutation_status,effect_modifier,categorical_eta,0.03673552845808392,0.03673552845808392,72
48,true_egfr_mutation_status,effect_modifier,categorical_eta,0.03627635978114535,0.03627635978114535,23
49,true_egfr_mutation_status,effect_modifier,categorical_eta,0.034386325710083404,0.034386325710083404,38
20,true_egfr_mutation_status,effect_modifier,categorical_eta,0.034066560772609715,0.034066560772609715,32
83,true_egfr_mutation_status,effect_modifier,categorical_eta,0.03224961477329859,0.03224961477329859,28
28,true_egfr_mutation_status,effect_modifier,categorical_eta,0.030967650996735683,0.030967650996735683,20
39,true_egfr_mutation_status,effect_modifier,categorical_eta,0.03041493691196935,0.03041493691196935,29
37,true_egfr_mutation_status,effect_modifier,categorical_eta,0.030409345848992783,0.030409345848992783,64
56,true_egfr_mutation_status,effect_modifier,categorical_eta,0.030190626245906137,0.030190626245906137,53
22,true_egfr_mutation_status,effect_modifier,categorical_eta,0.030088341478592486,0.030088341478592486,73
53,true_egfr_mutation_status,effect_modifier,categorical_eta,0.029958805720824044,0.029958805720824044,99
70,true_egfr_mutation_status,effect_modifier,categorical_eta,0.029509433980428622,0.029509433980428622,82
50,true_egfr_mutation_status,effect_modifier,categorical_eta,0.02922434902061598,0.02922434902061598,95
89,true_egfr_mutation_status,effect_modifier,categorical_eta,0.028994765042944723,0.028994765042944723,76
45,true_egfr_mutation_status,effect_modifier,categorical_eta,0.028846316008444617,0.028846316008444617,34
87,true_egfr_mutation_status,effect_modifier,categorical_eta,0.027269275692267485,0.027269275692267485,17
26,true_egfr_mutation_status,effect_modifier,categorical_eta,0.02573243687216085,0.02573243687216085,69
38,true_egfr_mutation_status,effect_modifier,categorical_eta,0.025541986698850386,0.025541986698850386,66
31,true_egfr_mutation_status,effect_modifier,categorical_eta,0.02440920942884458,0.02440920942884458,44
11,true_egfr_mutation_status,effect_modifier,categorical_eta,0.02303418989008602,0.02303418989008602,96
98,true_egfr_mutation_status,effect_modifier,categorical_eta,0.021073370257821678,0.021073370257821678,65
72,true_egfr_mutation_status,effect_modifier,categorical_eta,0.020604632626288977,0.020604632626288977,8
61,true_egfr_mutation_status,effect_modifier,categorical_eta,0.020204002859771288,0.020204002859771288,79
67,true_egfr_mutation_status,effect_modifier,categorical_eta,0.019993860539867916,0.019993860539867916,51
66,true_egfr_mutation_status,effect_modifier,categorical_eta,0.019654639688702586,0.019654639688702586,58
6,true_egfr_mutation_status,effect_modifier,categorical_eta,0.01899824736376689,0.01899824736376689,56
21,true_egfr_mutation_status,effect_modifier,categorical_eta,0.018299300282262197,0.018299300282262197,87
2,true_egfr_mutation_status,effect_modifier,categorical_eta,0.017981174656848457,0.017981174656848457,26
91,true_egfr_mutation_status,effect_modifier,categorical_eta,0.016704666601804512,0.016704666601804512,84
60,true_egfr_mutation_status,effect_modifier,categorical_eta,0.016198779299657844,0.016198779299657844,77
68,true_egfr_mutation_status,effect_modifier,categorical_eta,0.015044979388609816,0.015044979388609816,10
25,true_egfr_mutation_status,effect_modifier,categorical_eta,0.014821004244120382,0.014821004244120382,60
14,true_egfr_mutation_status,effect_modifier,categorical_eta,0.013876361121685388,0.013876361121685388,92
97,true_egfr_mutation_status,effect_modifier,categorical_eta,0.013094758034537895,0.013094758034537895,74
77,true_egfr_mutation_status,effect_modifier,categorical_eta,0.011829824727027696,0.011829824727027696,88
23,true_egfr_mutation_status,effect_modifier,categorical_eta,0.010662167612100934,0.010662167612100934,6
18,true_egfr_mutation_status,effect_modifier,categorical_eta,0.010338148164284775,0.010338148164284775,80
43,true_egfr_mutation_status,effect_modifier,categorical_eta,0.009102204304652698,0.009102204304652698,25
78,true_egfr_mutation_status,effect_modifier,categorical_eta,0.006650749001956815,0.006650749001956815,12
8,true_egfr_mutation_status,effect_modifier,categorical_eta,0.00549229384320544,0.00549229384320544,39
4,true_histology_type,effect_modifier,categorical_eta,0.7882496625418646,0.7882496625418646,86
90,true_histology_type,effect_modifier,categorical_eta,0.7624582017301014,0.7624582017301014,59
83,true_histology_type,effect_modifier,categorical_eta,0.7617766029659938,0.7617766029659938,28
99,true_histology_type,effect_modifier,categorical_eta,0.6998182168174698,0.6998182168174698,78
54,true_histology_type,effect_modifier,categorical_eta,0.43221659982746824,0.43221659982746824,81
62,true_histology_type,effect_modifier,categorical_eta,0.21241550091803768,0.21241550091803768,94
10,true_histology_type,effect_modifier,categorical_eta,0.19332528024765783,0.19332528024765783,42
16,true_histology_type,effect_modifier,categorical_eta,0.18877262681027027,0.18877262681027027,21
75,true_histology_type,effect_modifier,categorical_eta,0.187542151216335,0.187542151216335,16
41,true_histology_type,effect_modifier,categorical_eta,0.14364352397132743,0.14364352397132743,50
63,true_histology_type,effect_modifier,categorical_eta,0.12857780753130144,0.12857780753130144,1
50,true_histology_type,effect_modifier,categorical_eta,0.12676185671216494,0.12676185671216494,95
80,true_histology_type,effect_modifier,categorical_eta,0.12361367130421923,0.12361367130421923,61
53,true_histology_type,effect_modifier,categorical_eta,0.12230150876513914,0.12230150876513914,99
86,true_histology_type,effect_modifier,categorical_eta,0.11931866433916566,0.11931866433916566,15
76,true_histology_type,effect_modifier,categorical_eta,0.11828557237217363,0.11828557237217363,100
93,true_histology_type,effect_modifier,categorical_eta,0.11467403852888355,0.11467403852888355,68
65,true_histology_type,effect_modifier,categorical_eta,0.11388144414968183,0.11388144414968183,37
88,true_histology_type,effect_modifier,categorical_eta,0.11321289329528145,0.11321289329528145,70
13,true_histology_type,effect_modifier,categorical_eta,0.11295910350700471,0.11295910350700471,52
11,true_histology_type,effect_modifier,categorical_eta,0.1077776592874801,0.1077776592874801,96
23,true_histology_type,effect_modifier,categorical_eta,0.10341381750409682,0.10341381750409682,6
57,true_histology_type,effect_modifier,categorical_eta,0.10276469365241789,0.10276469365241789,18
74,true_histology_type,effect_modifier,categorical_eta,0.10221173109905902,0.10221173109905902,83
44,true_histology_type,effect_modifier,categorical_eta,0.10032458832365158,0.10032458832365158,5
79,true_histology_type,effect_modifier,categorical_eta,0.09740649080303411,0.09740649080303411,30
29,true_histology_type,effect_modifier,categorical_eta,0.09601823659378189,0.09601823659378189,49
14,true_histology_type,effect_modifier,categorical_eta,0.09566792353566693,0.09566792353566693,92
1,true_histology_type,effect_modifier,categorical_eta,0.09153568893746744,0.09153568893746744,85
67,true_histology_type,effect_modifier,categorical_eta,0.08878819865268736,0.08878819865268736,51
30,true_histology_type,effect_modifier,categorical_eta,0.08599314129942252,0.08599314129942252,71
12,true_histology_type,effect_modifier,categorical_eta,0.08562023409067387,0.08562023409067387,9
70,true_histology_type,effect_modifier,categorical_eta,0.08476110428944267,0.08476110428944267,82
26,true_histology_type,effect_modifier,categorical_eta,0.08282484629582143,0.08282484629582143,69
37,true_histology_type,effect_modifier,categorical_eta,0.08177115163166195,0.08177115163166195,64
